11,Apple,20.0,500,N/A,12/11/2022,Kansas
22,Blueberries,4.99,0,N/A,12/10/2023,Kansas
12,Strawberries,4.99,60,N/A,12/12/2022,Kansas
13,Almond Milk,5.99,60,N/A,12/01/2023,Kansas
14,Oat Milk,6.99,80,N/A,12/02/2023,Kansas
15,Goat Milk,2.99,120,N/A,12/03/2023,Kansas
16,Ground Beef,3.99,80,N/A,12/04/2023,Kansas
17,Carrot,1.99,140,N/A,12/05/2023,Kansas
18,Milk,2.99,120,N/A,12/06/2023,Kansas
19,Yogurt,3.99,90,N/A,12/07/2023,Kansas
1,Ice Cream,9.99,10,N/A,12/01/2022,Kansas
2,Lettuce,3.0,44,N/A,12/02/2022,Kansas
3,Tomato,2.0,2,N/A,12/03/2022,Kansas
4,Cookie Dough,5.0,15554,N/A,12/04/2022,Kansas
5,Pizza,0.01,4,N/A,12/05/2022,Kansas
6,Candy,100.0,200,N/A,12/06/2022,Kansas
7,Burger,1200.0,4,N/A,12/07/2022,Kansas
8,Chicken,2.0,140,N/A,12/08/2022,Kansas
9,Fries,4.0,180,N/A,12/09/2022,Kansas
20,Shoe sole,999.99,100,N/A,12/08/2023,Kansas
10,Garbage Bag,15.0,60,N/A,12/10/2022,Kansas
21,Cutting Board,10.99,120,N/A,12/09/2023,Kansas
